,
negative,sabanaqvi cong is aligning with the regional parties to save itself from extinction otherwise it has lost the party profile. upelections      
negative,Counter quest for SP asking for face of UP CM. Party tickets not to Muslims breaking caste-creed configuration set-up by SP
negative,"If one watches this video of venerable Pappu, one would get a feeling he is campaigning for Modi. Quite apt he is called Pappu upelections"
positive,GharDilwaoAkhileshJi before upelections yadavakhilesh thanks
positive,Akhlesh Yadav attack on BSP & BJP in Maharajganj Rally https://goo.gl/fb/tNUWeJ  kashmirtelegraph elections upelections akhleshyadav 
positive,UPElections: Here's how AkhileshYadav is taking on NarendraModi in his own game      
positive,Dimpal Yadav Addresses rally in #Jaunpur Uttar Pradesh https://goo.gl/fb/psFh4D  kashmirtelegraph elections politics up upelections 
negative,Dimple asks why there is a "kamal" on the 2000rs note...simply because a cycle cannot be accomodated in that space.Upelections.
negative,@RatanSharda55 Independent candidate Rakesh Singh from Mahoba dies after being injured in clash b/w SP-BSP karnameBolteHain UPelections
negative,"In Varanasi, covering UPElections. Hearing Modi's name, but insiders say BJP factionalism is problem UpPolls"
positive,Please get over the gadha rahul timesnow indiaupfront. Too many questions in this direction dilutes this interview. upelections
negative,And all had said this election would be fought on the agenda of DEVELOPMENT. Sad to see this coming from "Up k Ladke" UPElections
positive,JP Yadav on rebranding of AmitShah. UPElections 
positive,.@BJP4India win in UPelections will be a trigger for #markets: .@Iamsamirarora http://bit.ly/2m0ufKf 
negative,UP assembly polls: BJP leaders divided on Muslim candidates  http://www.oneindia.com/india/up-assembly-polls-bjp-leaders-divided-on-muslim-candidates-2359529.html … UpElections
positive,AkhileshYadav takes on NarendraModi at his own game http://reut.rs/2mqMeGX  via @ReutersIndia UPElections India
positive,UPelections : Why Congress-SP alliance is giving BJP the jitters in Modi's home turf Varanasi http://dhunt.in/20VFm?ss=twt&s=dw … Upelections
negative,"upelections BJP flooding, credit goes to SP drainage system."
positive,"There is no Modi wave in UP.
People are with SP,
People r voting for development 

UP CM @yadavakhilesh to @News18TamilNadu      "
positive,"I have taken example of TN schemes like free food, milk & egg for school children UP CM @yadavakhilesh to @News18TamilNadu upelections"
positive,GharDilwaoAkhileshJi before upelections yadavakhilesh thanks
positive,NarendraModi's latest: BJP will confront criminals the way 'Katappa killed Baahubali' UPElections
negative,@narendramodi upelections me 20-30 Muslim candidate khade kar dete to UP  kya pure Bharat ke Muslim aapko vote dene ke liye majboor ho jate 
positive,"57.36% turnout in 5th phase of upelections,voting ends by & large peacefully in 51 Assembly seats.BJPwaveInUP yadavakhilesh RahulGandhi"
negative,PM Modi's Adopted Village in Varanasi Could Do With Some Water http://lsh.re/1CWZQ  upelections uppolls sewapuri varanasi elections
positive,So it looks like bjp has swept the phase 5. Next 2 will confirm it's majority. UPElections
negative,Mayawati's 'Elephants' Feed on Currency Notes: RajnathSingh BJP BSP UPElections 
negative,UPElections: Police raids GayatriPrajapati's residence in Lucknow
positive,BJP requested EC to ensure voting for all eligible voters holding a Photo ID in remaining phases of UPElections.
positive,"UP polls: Akhilesh is alliance boss, changing narrative makes it evident  http://www.oneindia.com/india/up-polls-akhilesh-is-alliance-boss-changing-narrative-makes-it-evident-2361753.html … UpElections"
positive,Build no graveyards: Sakshi Maharaj https://goo.gl/fb/tJ0aNg  kashmirtelegraph elections politics upelections sakshimaharaj
