bjp | positive
bjp | negative
bjp | negative
sp | negative
bjp | positive
bjp | negative
bjp | positive
bjp | positive
bjp | negative
congress | negative
bjp | negative
bjp | negative
bjp | negative
bjp | positive
bjp | negative
bjp | negative
bjp | positive
bjp | positive
bjp | positive
bjp | negative
bjp | positive
bjp | positive
sp | positive
congress | negative
bjp | positive
bjp | positive
bjp | positive
bjp | positive
sp | positive
bjp | negative
bjp | positive
bjp | positive
congress | negative
bjp | positive
sp | positive
sp | positive
sp | positive
bjp | positive
bjp | positive
congress | positive
sp | positive
bjp | negative
sp | positive
sp | positive
sp | positive
bjp | negative
bjp | negative
bjp | negative
bjp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | negative
bjp | negative
bjp | positive
bjp | negative
bjp | positive
bjp | positive
bjp | positive
sp | positive
bjp | positive
sp | positive
bjp | positive
bjp | negative
sp | negative
sp | negative
bjp | positive
sp | negative
bjp | negative
sp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | negative
bjp | positive
bjp | positive
bjp | positive
congress | negative
bjp | negative
bjp | positive
bjp | positive
sp | positive
bjp | positive
sp | negative
sp | negative
congress | negative
sp | positive
bjp | positive
sp | negative
bjp | positive
sp | positive
congress | positive
bjp | positive
bjp | positive
bjp | positive
bjp | negative
bjp | positive
bjp | negative
sp | negative
bjp | negative
sp | negative
sp | positive
sp | positive
bjp | positive
bjp | negative
sp | negative
bjp | positive
bjp | positive
sp | positive
sp | negative
sp | positive
bjp | positive
sp | positive
bjp | positive
congress | positive
bjp | positive
bjp | positive
congress | positive
bjp | positive
bjp | positive
bjp | positive
sp | positive
bjp | positive
sp | positive
congress | positive
bjp | positive
congress | positive
congress | positive
sp | negative
bjp | positive
sp | negative
bjp | positive
sp | positive
sp | positive
bjp | negative
bjp | positive
bjp | positive
sp | positive
bjp | negative
sp | negative
bjp | positive
sp | negative
bjp | positive
bjp | positive
bjp | positive
congress | negative
bjp | positive
bjp | positive
sp | positive
bjp | positive
sp | positive
sp | positive
sp | negative
bjp | negative
bjp | positive
congress | positive
congress | positive
sp | negative
sp | negative
sp | positive
sp | positive
bjp | positive
bjp | positive
bjp | positive
congress | positive
congress | positive
bjp | positive
bjp | positive
bjp | positive
bjp | positive
sp | positive
bjp | positive
bjp | negative
bjp | positive
congress | positive
sp | positive
bjp | positive
sp | positive
bjp | negative
congress | positive
bjp | positive
bjp | positive
sp | negative
bjp | positive
sp | positive
bjp | positive
bjp | negative
bjp | negative
bjp | positive
bjp | positive
sp | positive
sp | positive
bjp | positive
bjp | positive
sp | positive
sp | positive
bjp | positive
bjp | positive
bjp | negative
sp | positive
sp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | positive
sp | negative
sp | positive
bjp | negative
sp | positive
bjp | positive
sp | positive
bjp | positive
bjp | negative
bjp | positive
bjp | negative
sp | positive
sp | positive
bjp | negative
sp | positive
bjp | negative
bjp | negative
congress | positive
bjp | positive
congress | positive
bjp | positive
bjp | positive
sp | positive
sp | negative
bjp | negative
bjp | positive
bjp | positive
bjp | positive
sp | positive
sp | positive
bjp | positive
bjp | positive
sp | positive
bjp | positive
sp | positive
sp | positive
sp | positive
bjp | positive
sp | negative
bjp | positive
bjp | negative
bjp | negative
bjp | positive
sp | positive
sp | positive
bjp | positive
congress | positive
bjp | positive
bjp | positive
bjp | positive
congress | positive
bjp | positive
sp | positive
bjp | positive
bjp | positive
congress | positive
bjp | positive
bjp | positive
bjp | negative
sp | negative
bjp | positive
bjp | positive
bjp | positive
sp | positive
bjp | positive
bjp | positive
sp | positive
bjp | negative
bjp | negative
sp | positive
bjp | positive
sp | positive
sp | positive
sp | positive
congress | positive
sp | positive
congress | negative
congress | positive
bjp | negative
sp | positive
bjp | negative
bjp | positive
sp | negative
bjp | positive
bjp | negative
bjp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | positive
sp | negative
sp | positive
bjp | positive
bjp | positive
sp | positive
congress | positive
congress | negative
congress | negative
sp | positive
bjp | positive
bjp | positive
sp | positive
bjp | positive
bjp | positive
bjp | positive
sp | positive
bjp | negative
bjp | positive
bjp | negative
bjp | negative
bjp | positive
bjp | negative
bjp | positive
congress | positive
congress | negative
bjp | negative
bjp | positive
bjp | negative
bjp | positive
bjp | positive
sp | positive
sp | negative
bjp | negative
bjp | negative
bjp | positive
sp | positive
bjp | negative
congress | positive
congress | positive
bjp | negative
sp | negative
bjp | positive
bjp | negative
bjp | negative
congress | negative
bjp | negative
sp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | positive
congress | negative
sp | positive
bjp | negative
bjp | positive
sp | negative
bjp | positive
congress | positive
bjp | negative
bjp | negative
bjp | positive
bjp | positive
congress | positive
bjp | positive
sp | positive
sp | negative
bjp | positive
sp | positive
sp | positive
bjp | negative
bjp | negative
bjp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | positive
bjp | negative
bjp | positive
sp | negative
bjp | negative
sp | positive
congress | positive
bjp | positive
sp | negative
bjp | positive
bjp | positive
bjp | positive
bjp | positive
sp | positive
sp | positive
bjp | positive
bjp | negative
bjp | negative
sp | positive
bjp | negative
sp | negative
bjp | positive
sp | negative
bjp | positive
sp | negative
bjp | positive
sp | negative
congress | positive
sp | positive
bjp | negative
bjp | negative
congress | positive
bjp | negative
sp | positive
bjp | negative
bjp | positive
bjp | negative
bjp | positive
bjp | positive
bjp | positive
congress | positive
sp | positive
bjp | positive
congress | negative
